1836,1656.7722262680213
1837,1285.492494649716
1838,1188.0555148331516
1839,1314.4285474883675
1840,1192.9800374365013
1841,1413.6840572945596
1842,1179.3462248624026
1843,1330.1993040276982
1844,1048.4943160902292
1845,1464.9255705347914
1846,1504.5992471038
1847,1296.1151219694787
1848,1455.6118602611537
1849,1328.4079001305483
1850,1421.4661290333497
1851,1322.2585002433912
1852,1604.6741817232335
1853,1180.0533590441019
1854,1380.658327160646
1855,962.1512778330513
1856,1203.6200496582196
1857,1203.6347578372388
1858,1369.487276503726
1859,1450.2725831959683
1860,1363.0875426686378
1861,1626.3547471304983
1862,1653.7183202666379
1863,1655.4998727902826
1864,1379.1289140667793
1865,1228.2588218754238
1866,1703.6235878728817
1867,1439.02624329943
1868,1775.4072445070617
1869,1408.658740276012
1870,1192.6975556938476
1871,1437.464863517075
1872,1984.6512825287625
1873,1491.2999870296942
1874,1565.0577106326925
1875,1403.9545284517806
1876,1510.3709681332696
1877,2004.897118984917
1878,1245.2451098145677
1879,1277.6130942402451
1880,1183.4271558243001
1881,1418.6571167129744
1882,1665.0935766448738
1883,1623.3480776338888
1884,1636.6156301695946
1885,1360.7337899668635
1886,1376.3747132582948
1887,1143.897985563185
1888,1327.9642085940925
1889,1238.5612037573762
1890,1532.4324327194242
1891,1456.2766981545908
1892,1381.7090930639094
1893,1341.7513754974432
1894,1492.8212924558275
1895,1180.706363985818
1896,1352.0738741485943
1897,1480.0303682646336
1898,1506.7771096224888
1899,1497.8553490569313
1900,1630.9349572913934
1901,1319.399871237735
1902,1220.086146376154
1903,1908.473475524936
1904,1428.328095233681
1905,1337.7527008951965
1906,1491.768230035288
1907,1564.8269693977857
1908,1452.9679262228376
1909,1443.7530093345276
1910,1498.553781904291
1911,1524.4595101680234
1912,1611.2964821102446
1913,1411.3558781397808
1914,1493.4328829526494
1915,1251.1331132134553
1916,1600.4490138762264
1917,1410.9208719145558
1918,1602.447589788579
1919,1277.2345985570414
1920,1655.0995324291962
1921,1597.3696506175725
1922,1375.2429354081642
1923,1822.5933232618893
1924,1491.5706491107399
1925,1408.7479088618384
1926,1623.4155001542306
1927,1627.2473139310728
1928,1939.617111162269
1929,1599.957309904826
1930,1598.7551081698114
1931,1529.6367080091313
1932,1599.976492365372
1933,1178.9874623954574
1934,1612.75505551395
1935,1542.6262248926967
1936,1446.7795374288862
1937,1278.1349654199903
1938,1906.1436811253875
1939,1403.0188732536167
1940,1405.465304343405
1941,1160.9199658025796
1942,1567.056657361614
1943,1688.4876139381597
1944,1566.7701279394926
1945,1440.1022893575712
1946,1463.7561851106336
1947,1414.8827411597763
1948,1896.7045769851695
1949,1654.8105169129715
1950,1691.251274920591
1951,1570.264441455445
1952,1330.516864131454
1953,1442.0769753887507
1954,1980.7434321138057
1955,1225.797025383414
1956,1378.316976975436
1957,1511.2797955342376
1958,1416.141129887699
1959,1388.7386020880344
1960,1507.2662072832388
1961,1668.636745427064
1962,1613.8118027285939
1963,1439.2294509079031
1964,1448.0801281690494
1965,1564.7086355204924
1966,1572.3392819281155
1967,1712.0696982981594
1968,1420.54936516526
1969,1253.9137704482573
1970,1607.6050290664439
1971,1252.802444749256
1972,1446.200171969356
1973,1337.4186541716838
1974,1669.1636255972649
1975,1375.4055175842961
1976,1464.3931350073517
1977,1628.7765838953324
1978,1512.124972843304
1979,1661.5105874973895
1980,1719.1586358647849
1981,1694.933423792474
1982,1865.134715696372
1983,1573.5823742407654
1984,1564.0844191301244
1985,1654.3005785586083
1986,1864.9091321183384
1987,1576.1559973509031
1988,1810.9657313794223
1989,1604.1158741636439
1990,2035.6619194765185
1991,1657.778665230016
1992,1913.9348121223877
1993,1623.7248143985719
1994,1852.0575389231
1995,1559.9522668062423
1996,1469.8687852232936
1997,1515.0266942048563
1998,1928.0053538143163
1999,1915.5947731551666
2000,1897.283680888778
2001,1368.6937274729773
2002,1864.7307461767728
2003,1331.484020857068
2004,1822.704841342808
2005,1611.4182010017366
2006,1856.8657885076454
2007,1629.97757054908
2008,1920.5484263758115
2009,1915.7907943326497
2010,1334.0907289645152
2011,2187.1102992907317
2012,1859.565020967893
2013,1653.1916378395779
2014,1948.3088991932013
2015,2112.25393472419
2016,1620.8338470621823
2017,1752.4519437295603
2018,1642.3997264922175
2019,1709.1816436872643
2020,2040.5525829287988
2021,1490.3450525424637
