1836,1562.456157790901
1837,1131.8062556728921
1838,1194.3024972185506
1839,1175.0697734426471
1840,1202.2553670293698
1841,1308.475299029501
1842,1265.4875838159971
1843,1286.7747652898208
1844,1195.2988839933441
1845,1413.6496881207056
1846,1442.5784258573196
1847,1370.7394343563833
1848,1436.333837420018
1849,1351.729765693068
1850,1455.5341428871284
1851,1153.5617929594139
1852,1450.4902417783187
1853,1213.9368159326189
1854,1554.788294722263
1855,1053.455952665432
1856,1163.4856910680387
1857,1271.723107291124
1858,1231.2465511148869
1859,1491.7633844003615
1860,1277.084040785591
1861,1620.221893159257
1862,1556.0004174012038
1863,1868.3009450891386
1864,1505.595049130558
1865,1217.883011079316
1866,1594.5990231166609
1867,1435.0950826770945
1868,1858.6269072112461
1869,1566.794346066376
1870,1171.141929917355
1871,1279.5789557451426
1872,1727.8418033908195
1873,1576.7019011707123
1874,1681.111687649551
1875,1356.6179151883537
1876,1412.086366853873
1877,1795.4462899422483
1878,1404.5048311424637
1879,1244.7517052079115
1880,1338.607270444473
1881,1306.8195279083175
1882,1607.1107301971174
1883,1554.2472743807284
1884,1618.4164093530621
1885,1474.0931142818229
1886,1352.3594614436026
1887,1306.0963259174234
1888,1386.9887288449738
1889,1298.0350493902054
1890,1614.7935419853713
1891,1491.312717372565
1892,1465.6582937721553
1893,1629.8325035505482
1894,1514.4961178188619
1895,1347.7821926670172
1896,1528.047389620396
1897,1326.5868126415407
1898,1799.1755630136386
1899,1496.5337560392209
1900,1649.9328315540968
1901,1327.994737131673
1902,1275.594692143628
1903,1874.1574861015501
1904,1479.8370446944239
1905,1510.9772120055154
1906,1620.1960534507925
1907,1401.4775038170076
1908,1462.220482017557
1909,1350.5468208511415
1910,1525.3353897042277
1911,1518.147257800517
1912,1629.1957528107444
1913,1432.7996470055093
1914,1556.100397268286
1915,1332.984728497481
1916,1614.1545878430475
1917,1559.7302299668838
1918,1588.0280693075717
1919,1421.4976503885543
1920,1557.7552347053347
1921,1558.6619990392605
1922,1423.4733546082102
1923,1758.7526139821791
1924,1492.5936376139748
1925,1429.9881963708995
1926,1555.2995290465278
1927,1557.106244784821
1928,1704.1701822743764
1929,1432.564616384741
1930,1520.8729525516098
1931,1468.7068151474907
1932,1598.370264589116
1933,1201.875915945142
1934,1626.3971583440054
1935,1646.158604536936
1936,1313.6234850531848
1937,1131.5088920492117
1938,1961.677961170257
1939,1325.2843756383375
1940,1420.2863676056918
1941,1248.0183633743197
1942,1507.097519706051
1943,1680.653756198385
1944,1600.8537464951062
1945,1409.1818745447563
1946,1462.7896294710717
1947,1337.1226995211703
1948,1729.3793488670046
1949,1755.1721952070254
1950,1716.3085626207283
1951,1524.0437730283218
1952,1463.7092099603315
1953,1505.9459359923892
1954,1735.4369257953829
1955,1221.3357380961063
1956,1626.9725913091786
1957,1645.234955160712
1958,1350.2565320655447
1959,1502.5108564666266
1960,1203.7585910064709
1961,1608.0294692208877
1962,1635.0162175829792
1963,1247.5627700413074
1964,1465.6188267425052
1965,1521.421585245203
1966,1629.1490027587445
1967,1828.2927001492433
1968,1322.3282914285928
1969,1393.6122439570056
1970,1716.4758709338105
1971,1415.7988449840054
1972,1248.0883998964005
1973,1619.3923418118143
1974,1669.1178212871919
1975,1457.9277598482663
1976,1397.9421236412231
1977,1526.3117299989897
1978,1487.224174571488
1979,1730.1745806539388
1980,1671.044545161427
1981,1743.037444951385
1982,1781.7723519343829
1983,1741.7799644949926
1984,1554.3098039054046
1985,1583.86415025491
1986,1799.3946327355582
1987,1416.9962036950249
1988,1711.964048531059
1989,1790.8363550896674
1990,2234.9226936723317
1991,1597.6171189629017
1992,1998.336183060219
1993,1569.4776832669324
1994,1803.487895229055
1995,1691.9703842230101
1996,1339.8380419769258
1997,1582.3930045417617
1998,1929.2390042199588
1999,1978.0529690652015
2000,1803.9711198263801
2001,1467.876343622953
2002,1574.9925817920184
2003,1381.5606943094933
2004,1918.497526483514
2005,1842.558574205466
2006,1824.638231247199
2007,1820.818451000575
2008,1859.198629803919
2009,1786.7793514374864
2010,1292.4839955119735
2011,2003.368556913198
2012,1641.7646892862526
2013,1600.7304010065136
2014,1867.6504652181707
2015,1989.5712956445307
2016,1629.4007438235415
2017,1719.5835211516287
2018,1493.8409369935437
2019,1711.8855599468816
2020,1964.9107547204467
2021,1487.2864210750122
